subject,dataset,v,gamma,s,tau
0,krajbich2010,0.8365893236117915,0.7534740435944871,0.3301880472914816,0.5339233842384307
1,krajbich2010,0.9412520799671504,-0.08822119635504526,0.31267419738475044,0.2451298936161817
2,krajbich2010,0.23703676442507643,0.7377346426542504,0.32434090918632946,2.273199567365544
3,krajbich2010,0.8890585161732156,0.4557386659036324,0.19963961601731683,0.09720118018677278
4,krajbich2010,0.8821762466273351,0.5005057445639065,0.32122914826975807,0.36759737753145527
5,krajbich2010,1.4072299386879665,0.24442062552459443,0.19489323179551463,0.12095823242754461
6,krajbich2010,0.3827171699071448,0.4814239225552409,0.3244714968073476,0.6775329042983229
7,krajbich2010,0.8324685989511384,0.018678190172875773,0.2070720926838447,0.3642230809926587
8,krajbich2010,1.0383539582180468,0.4763483437991598,0.2868523796790382,0.3803618336017558
9,krajbich2010,0.6341159286850417,0.24027473384355413,0.28989721957518394,0.8739991744895788
10,krajbich2010,0.6668699338998192,0.8078093772649922,0.2665142766951814,0.5176505523711502
11,krajbich2010,0.5189580584124905,0.7429632679513873,0.31127922739442443,0.9193404462686355
12,krajbich2010,0.9193847835305915,0.8493259193194985,0.2541717938962893,0.4317146772935339
13,krajbich2010,0.3833278915264898,-0.7145778081029202,0.38430573638708343,0.10839049974483789
14,krajbich2010,0.8852104120359315,0.16134903408080595,0.2909771342306955,0.5567997044962624
15,krajbich2010,0.2996711654978153,0.7618415836278818,0.2938701103562224,1.0892411576759584
16,krajbich2010,0.34479618585652805,0.8088170311970921,0.21389404271248488,0.4491136493214368
17,krajbich2010,0.47808040951493497,0.6366247760699991,0.33296971886346644,1.2301020449837692
18,krajbich2010,0.5449477097656632,0.39023228087396367,0.2596427428372838,0.5793626900116006
19,krajbich2010,0.8664399831330846,0.14084270612505181,0.3665589112749549,1.293177939170757
20,krajbich2010,0.5614843334130255,0.8161479556775681,0.20088402956841955,0.6236212969911581
21,krajbich2010,1.0453070871034378,-0.021591960055352546,0.2615724488876227,0.5467898160834626
22,krajbich2010,1.2990984453437864,0.5610679792732922,0.21872410589250305,0.2776238410057745
23,krajbich2010,0.7803806070150151,-0.56190078405648,0.20065123402463653,0.5651139728433395
24,krajbich2010,0.909079023613789,-0.3374000221862551,0.2370625829842053,0.5352931834674585
25,krajbich2010,0.7192145820999716,0.6946148768946657,0.3502690142648188,0.5766746762796178
26,krajbich2010,1.6886186254825062,-0.050353225142974585,0.2697192595105341,0.2624735934967785
27,krajbich2010,0.522875956713079,-0.7823391553705709,0.276178661971206,1.6776471432779003
28,krajbich2010,0.43152703125938763,0.043472616326575585,0.3070072295448052,1.1555540548019962
29,krajbich2010,0.5386054125609752,-0.5615939306380641,0.3008918630845571,1.7797792552546274
30,krajbich2010,0.7720835640245063,-0.21496219371447906,0.3645818075304704,1.2230804408046116
31,krajbich2010,0.5280359678590024,-0.2520514631177566,0.2901845641524892,1.7532746023316546
32,krajbich2010,1.2437913799945377,0.3816600425969058,0.2155496029943173,0.23537445339111712
33,krajbich2010,0.689070504333566,0.013446160693104779,0.26107980593396324,1.0914211292226594
34,krajbich2010,1.366767160264266,-0.24346442899180323,0.24181911295888459,0.6075101479126281
35,krajbich2010,1.0640142625616056,0.5196744653369981,0.2908603671795009,0.2982263953981936
36,krajbich2010,0.9398915495603114,-0.4180793670040489,0.26832840491398324,0.3036114690525979
37,krajbich2010,0.443197522985241,0.33061586385583897,0.3091433521445026,1.407421415830992
38,krajbich2010,0.5979762218135811,0.5009066156561763,0.33678631803674286,0.6523839866289295
39,krajbich2011,1.2073478293339126,0.38911634311954085,0.2271030732489612,0.35458687817035695
40,krajbich2011,0.6333043360234485,0.3534741365358882,0.27944951954519265,0.6220215477089546
41,krajbich2011,0.7372010133692258,0.8145951716056544,0.28212235974135785,0.7879669584219086
42,krajbich2011,0.8004561417900024,-0.15466877966140619,0.32826827873481546,1.5056731253963476
43,krajbich2011,0.6278225802065892,0.6586447088487902,0.21914158263873143,0.5495828064727456
44,krajbich2011,0.4316661618233639,-0.28546358509222414,0.22150239141155822,1.5503971470589901
45,krajbich2011,0.19811046273941005,0.32418236341752044,0.2132328898720459,0.9996650603934227
46,krajbich2011,0.602487490707417,-1.0162388537436795,0.281132008242353,0.9213158845140095
47,krajbich2011,1.5811849008428458,0.25675636583676836,0.17798118822693523,0.2378351974092691
48,krajbich2011,0.6123545456529234,-0.07732225958037847,0.27052749172938606,1.4457267002851355
49,krajbich2011,0.7325999421500199,0.4626567842316521,0.25692549551579064,0.777925363550622
50,krajbich2011,1.175268499897511,0.025258468814715107,0.22333181891361023,0.3878062902391023
51,krajbich2011,0.6239997863854394,0.418658601476661,0.24033520079930404,0.7015159124566382
52,krajbich2011,0.607910630620161,0.4312090114399507,0.24742226326084588,1.0713449385906506
53,krajbich2011,1.1028802161025855,0.5766741606213049,0.1673041795460758,0.23679122091853122
54,krajbich2011,0.17973005031078992,0.3276852910442463,0.21631891762728542,2.0926009014467186
55,krajbich2011,0.5571782039903758,0.3406206319644063,0.36084116687480117,0.9895332974241554
56,krajbich2011,0.394272524541766,0.720116355199766,0.18615555878209922,2.025943051460161
57,krajbich2011,1.1874491949114072,0.21051683254982234,0.2662271570599094,0.37183413887758743
58,krajbich2011,0.6503975730428185,0.4981255046259315,0.32249479342793835,0.32829922625084973
59,krajbich2011,0.2873842023195509,0.40448349208166834,0.3021953238231365,3.5282169950585156
60,krajbich2011,0.6828701468671836,-0.21302098211010284,0.27189668233476655,0.5416078594454036
61,krajbich2011,0.48437394026031866,0.08574347630768091,0.24711340469463944,0.5760722168418426
62,krajbich2011,0.3897490445726071,0.5230480475582161,0.28712866811583154,0.9680457183873677
63,krajbich2011,0.2072200149236193,-0.38455404606119686,0.21028897129099944,1.2167572440652712
64,krajbich2011,0.5313331180933036,-0.4221518013987207,0.33037911255447716,1.7668085897242938
65,krajbich2011,0.941504665886187,-0.030161106509076427,0.21324095368232907,0.46734193522829903
66,krajbich2011,0.6419720339593653,0.7231992805768516,0.2715161988385417,0.8347978086434511
67,krajbich2011,0.40773168520593595,-0.05965332367775013,0.2270566513632458,1.5347624746746593
68,krajbich2011,0.8732950772803842,-0.08098651020646962,0.1926585868059614,0.5074733758042871
69,folke2016,0.1959054053393532,0.08448454177477907,0.11908151215935263,1.0347434033215732
70,folke2016,0.20790415969232262,0.20857122761815447,0.19172718976934083,1.6173967163722691
71,folke2016,0.17952197206001314,-0.2110002945385314,0.14445514251256536,0.4287208114031579
72,folke2016,0.2745659673751347,0.29643158083949234,0.17961822034542319,1.217640098301144
73,folke2016,0.3016780716416776,-0.12481288968778412,0.20708281006893034,3.5245870329591766
74,folke2016,0.30375343878325395,0.3474959962134183,0.2147642422766213,1.0413442187771662
75,folke2016,0.5135060761519892,0.1292232406641294,0.22155286159607848,0.6887553888401142
76,folke2016,0.3505711050804441,0.1979788822252781,0.18114574998795832,1.5285701321863139
77,folke2016,0.19561695172361054,0.41109022054929606,0.23641568629240767,3.7051483848591906
78,folke2016,0.18529823772847162,-0.1986736641745483,0.1521442362493021,1.4266300774907985
79,folke2016,0.2650494466860514,-0.15383221926690685,0.15739512964090946,1.8608448040957177
80,folke2016,0.16804482610966387,-0.3298847661304001,0.17448791537825292,2.665293655084618
81,folke2016,0.3433519632527751,-0.44733947742061786,0.27546404243896155,1.2390765569909326
82,folke2016,0.31299614502044315,-0.19618130554079408,0.20900177894888236,1.9588103855540084
83,folke2016,0.1863025782633394,-0.2901008380315833,0.14852191737443296,0.5639165780787285
84,folke2016,0.3032446433720503,-0.10247270634657688,0.18369677827362738,1.837442424603411
85,folke2016,0.2409570409377914,0.18679054928820277,0.17023271827472664,2.478195454534589
86,folke2016,0.26509961593755815,0.4273210473942319,0.17111977302480458,3.9225301249257436
87,folke2016,0.19092848335567497,0.015146625999012219,0.21355163452243742,1.969713850099885
88,folke2016,0.1959690500377273,0.3906416346661853,0.17433158515468847,2.6708778305991654
89,folke2016,0.19883809394545643,-0.38623250863039454,0.20185212186012633,1.61885921363639
90,folke2016,0.18933395918798512,-0.32332998090302617,0.19427102320223816,1.4186707180389189
91,folke2016,0.2716187065917236,-0.2617766484093382,0.1960250586583628,1.10889999337699
92,folke2016,0.17159654947174657,0.05347521588126197,0.18812822170119922,2.8322219660544254
93,tavares2017,1.2298848726858447,-0.011304699974337187,0.22685745746872357,0.1910943071298467
94,tavares2017,1.0248359704749437,0.3662469609950092,0.30205756441438436,0.3451034592040429
95,tavares2017,0.6192103874834655,0.028990461054079722,0.3673345625572728,0.49220383993942995
96,tavares2017,0.7545863201443503,0.2777719580251459,0.3801732358080636,0.7413034330148139
97,tavares2017,0.9022917863558594,-0.30083761800263514,0.3510901573837269,0.5795370700371444
98,tavares2017,0.8444019801359253,-0.05418395569027157,0.3883117900119212,0.47689295072264015
99,tavares2017,0.4616463204513226,-0.3122882520250233,0.32087250013633223,0.5603282995235943
100,tavares2017,0.5901947119244287,0.05074680456294425,0.4592340678604885,0.803501780312878
101,tavares2017,1.0198722507447409,0.3607327988067202,0.32591992396068076,0.3168266289468911
102,tavares2017,1.011311785713959,0.5435898090597739,0.4374885606679063,0.6003662767771695
103,tavares2017,1.395962746554109,0.02311573683782832,0.372475817897415,0.20473726950453414
104,tavares2017,0.9795360791946842,0.4263898568883485,0.34551552867853846,0.3439854850791903
105,tavares2017,0.6866883126795917,0.21774778381628093,0.35148153747581035,0.540090244772609
106,tavares2017,0.5322229124187748,0.058349789733199146,0.3897861909070923,0.7224056166188814
107,tavares2017,0.4316699670476902,0.19393969200656086,0.4605432294154648,0.9455381005017159
108,tavares2017,1.0227342400443646,0.0919527190940994,0.4579494048922654,0.4409313811985629
109,tavares2017,1.284185722943399,0.08889913277100067,0.3532231673910602,0.2982790582371921
110,tavares2017,0.4496045943339887,0.131162989584346,0.36259397978699115,0.8163397001171205
111,tavares2017,1.0046645070522844,0.08298909148775768,0.35701498463891207,0.41921204484088254
112,tavares2017,1.0348388753459217,0.011324101245481956,0.29956118920244923,0.11889402909566368
113,tavares2017,0.5443240527216906,0.0227733270714472,0.41121242514362355,0.9588492851553924
114,tavares2017,0.38280649956509305,0.29937718631791627,0.42680866500857895,0.8765158989318376
115,tavares2017,1.1872124534106745,-0.22562162258712312,0.3616549949433787,0.46277381032484094
116,tavares2017,0.5041519528656938,-0.35761080606165496,0.3916867000085731,0.9711132299725389
117,tavares2017,1.0339393004231838,0.12171207940207984,0.3790751127679533,0.23670497537685686
